slug,label,category_id,lastScrapedDate,airtableId,created,updated,synced
babysitting,Babysitting,childcare,,recZlcqq8OyzB8nYe,2023-02-24 10:28:28,2023-02-24 10:28:28,
back-end-developer,Back End Developer,software-development,,recNW9KNOSTZtRyvL,2023-02-24 10:28:27,2023-02-24 10:28:28,
back-office,Back Office,administrative-assistance,,recWfYOUdrsqFUmFo,2023-02-16 15:33:56,,
backend-developer,Backend Developer,software-development,,recQHxwT72IMPJSxs,2023-02-24 10:28:27,2023-02-24 10:28:28,
background-investigator,Background Investigator,human-resources,,rec8HJXH3vJAlooDX,2023-02-16 15:33:55,,
baggage-handler,Baggage Handler,loading-and-stocking,,receJQhIriXuQFIwz,2023-02-16 15:33:56,,
baker,Baker,food-preparation-and-service,,recwPPvNl32C1Yprp,2023-02-16 15:33:56,,
bakery,Bakery,food-preparation-and-service,2022-12-07 01:00:00,recpzdUh3sZqFfgVH,2023-02-16 15:33:56,,
bakery-assistant,Bakery Assistant,food-preparation-and-service,,recqnCEUkWsmPE8Kd,2023-02-16 15:33:56,,
bakery-manager,Bakery Manager,food-preparation-and-service,,reccRNQ9OJQ7G1kVt,2023-02-16 15:33:56,,
bank-manager,Bank Manager,sales,,recSCUjgfvfvuStxC,2023-02-16 15:33:56,,
bank-operations,Bank Operations,administrative-assistance,,recOrn57EKzbRVuKh,2023-02-16 15:33:56,,
bank-teller,Bank Teller,banking-and-finance,,recxJj9Durg8nIiyC,2023-02-16 15:33:57,,
bank-teller-full-time,Bank Teller Full Time,banking-and-finance,,recGpQSIRWN2WShwP,2023-02-16 15:33:55,,
banker,Banker,banking-and-finance,2022-12-08 01:00:00,rec1gJEnOyroGXas8,2023-02-16 15:33:55,,
banker-life,Banker Life,banking-and-finance,,recuuZssfkjnxaf6p,2023-02-16 15:33:56,,
banking-operations,Banking Operations,administrative-assistance,,recFoQAx5UT4wr7Sk,2023-02-16 15:33:55,,
banquet-bartender,Banquet Bartender,food-preparation-and-service,,recZ5uXfJtxKPx1Ly,2023-02-16 15:33:56,,
banquet-captain,Banquet Captain,food-preparation-and-service,,recg7dkuuiniE8DnW,2023-02-16 15:33:56,,
banquet-manager,Banquet Manager,food-preparation-and-service,,recocb42YU1B9997h,2023-02-16 15:33:56,,
banquet-server,Banquet Server,food-preparation-and-service,,recASnHgFj2qUINvu,2023-02-16 15:33:55,,
bar-back,Bar Back,food-preparation-and-service,,recRiwoYjhZvnDTYc,2023-02-16 15:33:56,,
bar-manager,Bar Manager,food-preparation-and-service,,rectvXJXcZTI6dFz7,2023-02-16 15:33:56,,
barback,Barback,food-preparation-and-service,,recYc8HFPSRkCAn2N,2023-02-16 15:33:56,,
barber,Barber,beauty-and-wellness,,rec3nb0t1GNRCjviA,2023-02-16 15:33:55,,
barista,Barista,food-preparation-and-service,,recbHrEtt0NLTncti,2023-02-16 15:33:56,,
barista-full-time,Barista Full Time,food-preparation-and-service,,recz7Vx4QP4TaxKDf,2023-02-16 15:33:57,,
bartender,Bartender,food-preparation-and-service,,rec7zBYg4VO61iEPs,2023-02-16 15:33:55,,
bartender-server,Bartender Server,food-preparation-and-service,,rec1CJk2tSl6Pj9F7,2023-02-16 15:33:55,,
bartenders,Bartenders,food-preparation-and-service,,recjMBDlBUxk4qXyy,2023-02-16 15:33:56,,
bartending,Bartending,food-preparation-and-service,,recWoV9tMK9M3fS70,2023-02-16 15:33:56,,
base-plus-commission,Base Plus Commission,management,,recUQQiJuB0r22cco,2023-02-16 15:33:56,,
baseball-coach,Baseball Coach,education-and-instruction,,recUVVooKVnl4xUKo,2023-02-16 15:33:56,,
basketball-coach,Basketball Coach,education-and-instruction,,recmtG0BD6hqHEZvz,2023-02-16 15:33:56,,
bcba,Bcba,physicians-and-surgeons,,recmi6hOCmdv0JEu0,2023-02-16 15:33:56,,
bdc-representative,Bdc Representative,sales,,recIYt5X24RXk8doP,2023-02-16 15:33:55,,
beauty-advisor,Beauty Advisor,sales,,recIDazaGXlfXwCOB,2023-02-16 15:33:55,,
beer-distributor,Beer Distributor,sales,,recyWHw9Q1y0xjqJx,2023-02-16 15:33:57,,
behavior-analyst,Behavior Analyst,community-and-social-service,,recweMyudCDxpDYrU,2023-02-16 15:33:56,,
behavior-specialist,Behavior Specialist,community-and-social-service,,recJzmk3LI8zVYUIU,2023-02-16 15:33:55,,
behavior-technician,Behavior Technician,therapy,2022-12-07 01:00:00,recwCnG1A8aOw5DjT,2023-02-16 15:33:56,,
behavior-therapist,Behavior Therapist,therapy,,recVA3qZIoPyrFtvp,2023-02-16 15:33:56,,
behavioral-health,Behavioral Health,therapy,2022-12-09 01:00:00,rec5Xmb4MUWSXX9oB,2023-02-16 15:33:55,,
behavioral-health-nurse,Behavioral Health Nurse,therapy,,recqSrFrv3HzFPoj5,2023-02-16 15:33:56,,
behavioral-health-rn,Behavioral Health RN,therapy,,rec7s3mmZPKzF8ldq,2023-02-16 15:33:55,,
behavioral-health-technician,Behavioral Health Technician,therapy,,recFTfMPfL5JtASh9,2023-02-16 15:33:55,,
behavioral-specialist,Behavioral Specialist,community-and-social-service,,rec0TPwQKm4qqL2BB,2023-02-16 15:33:55,,
behavioral-technician,Behavioral Technician,therapy,,rechVWv1osbFakvbk,2023-02-16 15:33:56,,
behavioral-therapist,Behavioral Therapist,therapy,,recGVgc0bnh3Xpw4K,2023-02-16 15:33:55,,
bell-person,Bell Person,hospitality-and-tourism,,recvw2yEL4MohAq6d,2023-02-16 15:33:56,,
bellman,Bellman,hospitality-and-tourism,,recEHsYF54a46Z7Pz,2023-02-16 15:33:55,,
bench-jeweler,Bench Jeweler,arts-and-entertainment,,recNXPrqJuf7dk9mb,2023-02-16 15:33:56,,
benefits-administrator,Benefits Administrator,human-resources,,recH8Le1YXY5AwGqU,2023-02-16 15:33:55,,
benefits-analyst,Benefits Analyst,human-resources,,recpAd8m2Cngr8uYo,2023-02-16 15:33:56,,
benefits-coordinator,Benefits Coordinator,human-resources,,recLT2zwTvzoYt2oA,2023-02-16 15:33:55,,
benefits-manager,Benefits Manager,human-resources,2022-12-10 01:00:00,recnf8XAFl0UvXbyP,2023-02-16 15:33:56,,
benefits-specialist,Benefits Specialist,human-resources,,reccLs71newjABeQo,2023-02-16 15:33:56,,
beverage-cart-attendant,Beverage Cart Attendant,cleaning-and-sanitation,,recZGhYWBRpjDKDfv,2023-02-16 15:33:56,,
beverage-director,Beverage Director,food-preparation-and-service,,rec8XUzyEtZ1xjKxR,2023-02-16 15:33:55,,
beverage-manager,Beverage Manager,food-preparation-and-service,2022-12-08 01:00:00,rechop364kKdLyyo0,2023-02-16 15:33:56,,
beverage-sales,Beverage Sales,sales,2022-12-09 01:00:00,rec2bbpEOZUlBIY9z,2023-02-16 15:33:55,,
bi-developer,Bi Developer,information-design-and-documentation,,recZsXQVN7oHfTLwb,2023-02-24 10:28:28,2023-02-24 10:28:28,
big-data-engineer,Big Data Engineer,software-development,,recjKt2gVtJuTDeKu,2023-02-24 10:28:28,2023-02-24 10:28:28,
bike-delivery,Bike Delivery,driving,,rectutUKyHNATaiHC,2023-02-16 15:33:56,,
bilingual-customer-service,Bilingual Customer Service,customer-service,,rec7QLKPQlEIotqmI,2023-02-16 15:33:55,,
biller,Biller,administrative-assistance,,rec8m946bSl4tnWh0,2023-02-16 15:33:55,,
billing-clerk,Billing Clerk,accounting,,reci1V1zu7K9VwQVe,2023-02-16 15:33:56,,
billing-coordinator,Billing Coordinator,administrative-assistance,,recZdDqFPkoiz9K35,2023-02-16 15:33:56,,
billing-manager,Billing Manager,accounting,,recnt9pEFvgelgOjh,2023-02-16 15:33:56,,
billing-specialist,Billing Specialist,administrative-assistance,,recrGq5wVTxD00UNu,2023-02-16 15:33:56,,
biologist,Biologist,scientific-research-and-development,,recgmMiyvwHhT5CzD,2023-02-16 15:33:56,,
biology-professor,Biology Professor,education-and-instruction,,receIYuATT3aLJYe0,2023-02-16 15:33:56,,
biomedical-engineer,Biomedical Engineer,medical-technician,,recYkXqfC5GDtelhE,2023-02-24 10:28:27,2023-02-24 10:28:28,
biomedical-engineering,Biomedical Engineering,medical-technician,,recVGxXdMv5jZ09o4,2023-02-24 10:28:27,2023-02-24 10:28:28,
biomedical-equipment-technician,Biomedical Equipment Technician,medical-technician,,rec9vPuEBuSOrGOyb,2023-02-16 15:33:55,,
biomedical-technician,Biomedical Technician,medical-technician,,recoHIvPZ1aING4GZ,2023-02-16 15:33:56,,
biostatistician,Biostatistician,mathematics,2022-12-10 01:00:00,recO2UrRayT49mcfN,2023-02-16 15:33:56,,
blockchain-developer,Blockchain Developer,software-development,,recbjeThX5rIJqlQb,2023-02-24 10:28:28,2023-02-24 10:28:28,
blog-writer,Blog Writer,media-and-communications,,recKv9ToAWXfw4McK,2023-02-16 15:33:55,,
blogger,Blogger,media-and-communications,,recBYwj48sQM6SH5Z,2023-02-16 15:33:55,,
board-certified-behavior-analyst,Board Certified Behavior Analyst,physicians-and-surgeons,,recfsaozlqWKUwJB1,2023-02-16 15:33:56,,
board-member,Board Member,education-and-instruction,,recRf4AlaXRxphpte,2023-02-16 15:33:56,,
body-guard,Body Guard,security-and-public-safety,,recMtmbUcdFnSjgr2,2023-02-16 15:33:56,,
body-shop,Body Shop,installation-and-maintenance,,rec9sMhGnOZI9lcba,2023-02-16 15:33:55,,
body-shop-estimator,Body Shop Estimator,installation-and-maintenance,2022-12-09 01:00:00,rectlxk8b4Iaztwsy,2023-02-16 15:33:56,,
body-shop-manager,Body Shop Manager,retail,,recNi90nD6gUxyVSf,2023-02-16 15:33:56,,
boiler-operator,Boiler Operator,installation-and-maintenance,,recQFDwvrCNqUZho8,2023-02-16 15:33:56,,
