code,label,labelNative,airtableId,created,updated,synced
sg ,Sango,yângâ tî sängö,rec7Ppy0TQN6jsWkj,2023-02-16 15:33:33,,
si ,"Sinhala, Sinhalese",සිංහල,recoNvsPuG8yBHW2X,2023-02-16 15:33:33,,
sk ,Slovak,"slovenčina, slovenský jazyk ",recdWtd2SgkuOVVFn,2023-02-16 15:33:33,,
sl ,Slovene,"slovenski jezik, slovenščina ",recCgqoc1mJiYhflS,2023-02-16 15:33:33,,
sm ,Samoan,"gagana fa'a Samoa",recdmkSvZuVnwaN4E,2023-02-16 15:33:33,,
sn ,Shona,chiShona,rec9NA5BColLYbOlF,2023-02-16 15:33:33,,
so ,Somali,"Soomaaliga, af Soomaali ",recVfWXH5ac6mJ1pX,2023-02-16 15:33:33,,
sq ,Albanian,gjuha shqipe,recH8XnWgmKIpu7lh,2023-02-16 15:33:33,,
sr ,Serbian,српски језик,recEGD865VvbK07FM,2023-02-24 10:28:26,2023-02-24 10:28:26,
ss ,Swati,SiSwati,rec06cd6r3Ws1ZRia,2023-02-16 15:33:33,,
st ,Southern Sotho,Sesotho,recKwPlK6sAtMRpKQ,2023-02-16 15:33:33,,
su ,Sundanese,Basa Sunda,recPwDrV7A2aWXBsU,2023-02-16 15:33:33,,
sv ,Swedish,Svenska,rectOyIvIludYPWq2,2023-02-16 15:33:33,,
sw ,Swahili,Kiswahili,recWWjSTjj672Nv0C,2023-02-16 15:33:33,,
ta ,Tamil,தமிழ்,reckmcLJrKUpmnwhs,2023-02-16 15:33:33,,
te ,Telugu,తెలుగు,recMXHXNHPE6QIndT,2023-02-16 15:33:33,,
tg ,Tajik,"тоҷикӣ, toğikī, تاجیکی‎ ",recY5db1CsBqoLkvQ,2023-02-16 15:33:33,,
th ,Thai,ไทย,recWIbdObE7GHAY3a,2023-02-16 15:33:33,,
ti ,Tigrinya,ትግርኛ,rec7TNPJlWbITS0nF,2023-02-16 15:33:33,,
tk ,Turkmen,"Türkmen, Түркмен ",rec5UUy7c8Sov5vGl,2023-02-16 15:33:33,,
tl ,Tagalog,"Wikang Tagalog, ᜏᜒᜃᜅ᜔ ᜆᜄᜎᜓᜄ᜔ ",recufvtRUE7HAjgEB,2023-02-16 15:33:33,,
tn ,Tswana,Setswana,recTLUtl56E4PFpJU,2023-02-16 15:33:33,,
to ,Tonga (Tonga Islands),faka Tonga,recU0LZkCtfWJhMIP,2023-02-16 15:33:33,,
tr ,Turkish,Türkçe,rec7mU5WMyEjgIX1H,2023-02-16 15:33:33,,
ts ,Tsonga,Xitsonga,recaDJBa9MQ9EqZsD,2023-02-16 15:33:33,,
